TimeSpent,AmountWorkers,MinTime,MaxTime
100,1,45,120
92,1,45,120
100,1,45,120
114,1,45,120
92,1,45,120
92,1,45,120
126,1,45,120
92,1,45,120
114,1,45,120
126,1,45,120
114,1,45,120
150,1,45,120
114,1,45,120
114,1,45,120
114,1,45,120
92,1,45,120
114,1,45,120
92,1,45,120
100,1,45,120
150,1,45,120
100,1,45,120
92,1,45,120
114,1,45,120
100,1,45,120
114,1,45,120
92,1,45,120
100,1,45,120
92,1,45,120
126,1,45,120
92,1,45,120
114,1,45,120
114,1,45,120
92,1,45,120
126,1,45,120
114,1,45,120
114,1,45,120
126,1,45,120
92,1,45,120
100,1,45,120
126,1,45,120
114,1,45,120
100,1,45,120
100,1,45,120
78,2,45,120
92,1,45,120
126,1,45,120
126,1,45,120
114,1,45,120
114,1,45,120
114,1,45,120
100,1,45,120
114,1,45,120
100,1,45,120
92,1,45,120
100,1,45,120
66,2,45,120
92,1,45,120
92,1,45,120
100,1,45,120
92,1,45,120
92,1,45,120
114,1,45,120
150,1,45,120
126,1,45,120
114,1,45,120
126,1,45,120
114,1,45,120
100,1,45,120
126,1,45,120
100,1,45,120
114,1,45,120
100,1,45,120
100,1,45,120
114,1,45,120
114,1,45,120
126,1,45,120
100,1,45,120
114,1,45,120
114,1,45,120
114,1,45,120
73,2,45,120
126,1,45,120
114,1,45,120
114,1,45,120
100,1,45,120
100,1,45,120
126,1,45,120
100,1,45,120
92,1,45,120
100,1,45,120
126,1,45,120
92,1,45,120
92,1,45,120
92,1,45,120
100,1,45,120
100,1,45,120
114,1,45,120
114,1,45,120
92,1,45,120
100,1,45,120
114,1,45,120
92,1,45,120
126,1,45,120
100,1,45,120
100,1,45,120
114,1,45,120
150,1,45,120
100,1,45,120
114,1,45,120
114,1,45,120
92,1,45,120
92,1,45,120
92,1,45,120
92,1,45,120
100,1,45,120
100,1,45,120
100,1,45,120
100,1,45,120
100,1,45,120
126,1,45,120
92,1,45,120
114,1,45,120
92,1,45,120
114,1,45,120
92,1,45,120
114,1,45,120
114,1,45,120
114,1,45,120
126,1,45,120
100,1,45,120
126,1,45,120
100,1,45,120
92,1,45,120
126,1,45,120
92,1,45,120
100,1,45,120
82,2,45,120
126,1,45,120
114,1,45,120
92,1,45,120
114,1,45,120
126,1,45,120
126,1,45,120
126,1,45,120
100,1,45,120
92,1,45,120
100,1,45,120
100,1,45,120
150,1,45,120
92,1,45,120
92,1,45,120
92,1,45,120
150,1,45,120
92,1,45,120
150,1,45,120
92,1,45,120
92,1,45,120
114,1,45,120
92,1,45,120
114,1,45,120
126,1,45,120
114,1,45,120
100,1,45,120
150,1,45,120
126,1,45,120
100,1,45,120
100,1,45,120
100,1,45,120
92,1,45,120
100,1,45,120
100,1,45,120
92,1,45,120
100,1,45,120
100,1,45,120
92,1,45,120
114,1,45,120
114,1,45,120
92,1,45,120
100,1,45,120
92,1,45,120
126,1,45,120
92,1,45,120
92,1,45,120
150,1,45,120
126,1,45,120
100,1,45,120
150,1,45,120
100,1,45,120
150,1,45,120
126,1,45,120
126,1,45,120
92,1,45,120
92,1,45,120
126,1,45,120
100,1,45,120
92,1,45,120
92,1,45,120
100,1,45,120
126,1,45,120
126,1,45,120
150,1,45,120
126,1,45,120
100,1,45,120
126,1,45,120
92,1,45,120
126,1,45,120
92,1,45,120
114,1,45,120
92,1,45,120
114,1,45,120
126,1,45,120
100,1,45,120
150,1,45,120
150,1,45,120
92,1,45,120
126,1,45,120
92,1,45,120
114,1,45,120
114,1,45,120
126,1,45,120
126,1,45,120
100,1,45,120
100,1,45,120
