TimeSpent,AmountWorkers
68,1
68,1
47,2
83,1
68,1
68,1
83,1
68,1
68,1
68,1
65,1
65,1
68,1
65,1
68,1
65,1
65,1
65,1
65,1
65,1
88,1
68,1
68,1
83,1
88,1
68,1
88,1
68,1
88,1
68,1
68,1
88,1
68,1
68,1
68,1
83,1
65,1
68,1
68,1
68,1
83,1
68,1
68,1
68,1
65,1
68,1
88,1
68,1
65,1
65,1
83,1
43,2
68,1
83,1
68,1
65,1
83,1
68,1
68,1
83,1
83,1
68,1
68,1
68,1
68,1
68,1
68,1
37,3
65,1
65,1
83,1
37,3
40,3
88,1
68,1
83,1
88,1
68,1
68,1
68,1
68,1
68,1
65,1
68,1
68,1
65,1
68,1
65,1
65,1
88,1
88,1
83,1
83,1
68,1
68,1
65,1
83,1
68,1
68,1
65,1
65,1
68,1
68,1
68,1
48,2
48,2
65,1
65,1
88,1
83,1
42,2
65,1
68,1
68,1
68,1
65,1
88,1
68,1
88,1
68,1
48,2
83,1
88,1
68,1
68,1
83,1
68,1
68,1
68,1
65,1
65,1
68,1
65,1
83,1
65,1
83,1
83,1
65,1
68,1
88,1
65,1
65,1
88,1
68,1
65,1
68,1
68,1
88,1
65,1
88,1
83,1
83,1
68,1
83,1
65,1
65,1
43,2
68,1
65,1
68,1
68,1
65,1
68,1
68,1
68,1
83,1
65,1
65,1
68,1
65,1
68,1
65,1
68,1
68,1
42,2
42,2
88,1
68,1
65,1
83,1
88,1
83,1
83,1
88,1
88,1
88,1
88,1
65,1
68,1
65,1
68,1
88,1
88,1
88,1
88,1
68,1
88,1
68,1
88,1
68,1
65,1
68,1
68,1
68,1
65,1
65,1
68,1
65,1
65,1
68,1
47,2
46,2
83,1
88,1
68,1
65,1
68,1
68,1
68,1
65,1
68,1
88,1
83,1
68,1
83,1
68,1
68,1
88,1
68,1
88,1
65,1
88,1
68,1
83,1
88,1
83,1
68,1
39,3
47,2
83,1
68,1
68,1
83,1
65,1
68,1
83,1
83,1
83,1
65,1
83,1
68,1
68,1
68,1
83,1
88,1
68,1
68,1
65,1
68,1
83,1
68,1
88,1
54,2
68,1
83,1
88,1
83,1
83,1
88,1
88,1
88,1
68,1
88,1
48,2
83,1
83,1
68,1
68,1
88,1
68,1
83,1
68,1
68,1
88,1
68,1
83,1
65,1
88,1
65,1
83,1
68,1
68,1
65,1
68,1
68,1
68,1
68,1
83,1
83,1
68,1
36,3
68,1
68,1
68,1
68,1
68,1
88,1
65,1
65,1
65,1
88,1
68,1
65,1
68,1
68,1
68,1
83,1
68,1
88,1
88,1
65,1
83,1
88,1
83,1
68,1
83,1
68,1
68,1
68,1
68,1
68,1
83,1
68,1
88,1
68,1
42,2
68,1
88,1
83,1
68,1
83,1
68,1
68,1
88,1
68,1
68,1
83,1
88,1
68,1
65,1
68,1
68,1
65,1
65,1
88,1
83,1
88,1
68,1
65,1
68,1
88,1
68,1
68,1
68,1
88,1
68,1
68,1
68,1
68,1
88,1
88,1
88,1
68,1
65,1
65,1
68,1
68,1
65,1
65,1
65,1
88,1
65,1
68,1
88,1
68,1
68,1
68,1
83,1
68,1
83,1
83,1
83,1
47,2
83,1
68,1
65,1
65,1
88,1
68,1
88,1
68,1
83,1
68,1
65,1
88,1
68,1
68,1
65,1
68,1
68,1
68,1
83,1
83,1
68,1
68,1
88,1
68,1
65,1
68,1
65,1
36,3
68,1
65,1
68,1
68,1
68,1
88,1
68,1
83,1
88,1
47,2
68,1
68,1
68,1
83,1
39,3
65,1
65,1
88,1
65,1
48,2
68,1
88,1
68,1
65,1
68,1
88,1
65,1
68,1
65,1
68,1
68,1
68,1
47,2
47,2
68,1
68,1
68,1
68,1
83,1
88,1
68,1
88,1
65,1
65,1
65,1
65,1
42,2
68,1
68,1
68,1
88,1
65,1
83,1
88,1
68,1
88,1
65,1
68,1
65,1
68,1
68,1
68,1
68,1
68,1
65,1
88,1
68,1
88,1
88,1
68,1
68,1
68,1
68,1
68,1
68,1
68,1
68,1
88,1
68,1
83,1
83,1
65,1
68,1
68,1
88,1
34,3
88,1
68,1
65,1
88,1
68,1
68,1
68,1
88,1
88,1
68,1
65,1
68,1
88,1
68,1
68,1
83,1
68,1
83,1
68,1
88,1
68,1
68,1
65,1
68,1
88,1
65,1
65,1
65,1
88,1
88,1
88,1
83,1
83,1
83,1
36,3
88,1
68,1
88,1
65,1
68,1
68,1
88,1
68,1
83,1
42,2
65,1
42,2
42,2
65,1
65,1
65,1
68,1
83,1
65,1
68,1
68,1
65,1
68,1
68,1
83,1
68,1
88,1
68,1
40,3
68,1
83,1
40,3
65,1
65,1
88,1
88,1
65,1
65,1
65,1
68,1
65,1
68,1
68,1
68,1
68,1
83,1
68,1
83,1
88,1
47,2
88,1
65,1
65,1
83,1
65,1
68,1
65,1
65,1
68,1
83,1
68,1
68,1
83,1
68,1
68,1
68,1
83,1
68,1
68,1
68,1
83,1
68,1
83,1
43,2
68,1
68,1
68,1
83,1
68,1
83,1
68,1
68,1
68,1
65,1
65,1
65,1
68,1
68,1
65,1
68,1
88,1
65,1
68,1
65,1
83,1
40,3
68,1
68,1
65,1
68,1
68,1
68,1
88,1
68,1
68,1
68,1
42,2
42,2
65,1
65,1
65,1
88,1
65,1
83,1
65,1
88,1
83,1
88,1
68,1
88,1
88,1
68,1
88,1
68,1
68,1
68,1
68,1
68,1
83,1
88,1
65,1
83,1
88,1
83,1
83,1
83,1
83,1
83,1
83,1
68,1
65,1
65,1
68,1
83,1
68,1
68,1
83,1
83,1
83,1
88,1
68,1
68,1
68,1
68,1
68,1
68,1
68,1
68,1
83,1
83,1
65,1
65,1
68,1
68,1
68,1
65,1
65,1
65,1
68,1
68,1
68,1
88,1
68,1
68,1
88,1
68,1
88,1
88,1
65,1
83,1
65,1
42,2
88,1
65,1
65,1
48,2
68,1
48,2
68,1
68,1
68,1
83,1
68,1
68,1
65,1
68,1
83,1
65,1
83,1
65,1
83,1
68,1
65,1
68,1
65,1
68,1
68,1
68,1
65,1
68,1
88,1
68,1
68,1
68,1
88,1
88,1
65,1
68,1
65,1
65,1
88,1
47,2
68,1
68,1
83,1
68,1
68,1
68,1
88,1
83,1
68,1
88,1
68,1
83,1
68,1
88,1
68,1
83,1
65,1
83,1
83,1
68,1
65,1
68,1
88,1
68,1
83,1
65,1
65,1
68,1
68,1
83,1
68,1
68,1
68,1
68,1
88,1
68,1
83,1
83,1
68,1
83,1
68,1
68,1
65,1
34,3
68,1
65,1
68,1
68,1
65,1
68,1
68,1
68,1
65,1
68,1
68,1
68,1
47,2
65,1
68,1
