TimeSpent,AmountWorkers,MinTime,MaxTime
102,1,60,180
102,1,60,180
82,1,60,180
120,1,60,180
117,1,60,180
94,1,60,180
137,1,60,180
137,1,60,180
94,1,60,180
94,1,60,180
94,1,60,180
137,1,60,180
171,1,60,180
102,1,60,180
102,1,60,180
141,1,60,180
137,1,60,180
120,1,60,180
104,1,60,180
100,1,60,180
104,1,60,180
137,1,60,180
137,1,60,180
104,1,60,180
104,1,60,180
89,1,60,180
104,1,60,180
123,1,60,180
117,1,60,180
137,1,60,180
141,1,60,180
117,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
100,1,60,180
120,1,60,180
106,1,60,180
106,1,60,180
94,1,60,180
106,1,60,180
94,1,60,180
104,1,60,180
102,1,60,180
117,1,60,180
102,1,60,180
102,1,60,180
102,1,60,180
102,1,60,180
102,1,60,180
104,1,60,180
117,1,60,180
84,1,60,180
102,1,60,180
102,1,60,180
102,1,60,180
123,1,60,180
137,1,60,180
137,1,60,180
120,1,60,180
141,1,60,180
102,1,60,180
106,1,60,180
137,1,60,180
141,1,60,180
102,1,60,180
102,1,60,180
102,1,60,180
94,1,60,180
141,1,60,180
102,1,60,180
141,1,60,180
141,1,60,180
102,1,60,180
137,1,60,180
123,1,60,180
94,1,60,180
141,1,60,180
141,1,60,180
94,1,60,180
94,1,60,180
137,1,60,180
106,1,60,180
104,1,60,180
117,1,60,180
104,1,60,180
102,1,60,180
102,1,60,180
120,1,60,180
102,1,60,180
117,1,60,180
123,1,60,180
102,1,60,180
94,1,60,180
106,1,60,180
141,1,60,180
141,1,60,180
94,1,60,180
141,1,60,180
123,1,60,180
117,1,60,180
104,1,60,180
117,1,60,180
120,1,60,180
90,1,60,180
106,1,60,180
104,1,60,180
104,1,60,180
102,1,60,180
137,1,60,180
94,1,60,180
137,1,60,180
106,1,60,180
104,1,60,180
94,1,60,180
102,1,60,180
94,1,60,180
102,1,60,180
102,1,60,180
83,1,60,180
85,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
104,1,60,180
120,1,60,180
102,1,60,180
102,1,60,180
104,1,60,180
102,1,60,180
102,1,60,180
83,1,60,180
96,1,60,180
78,1,60,180
123,1,60,180
123,1,60,180
123,1,60,180
94,1,60,180
106,1,60,180
141,1,60,180
106,1,60,180
106,1,60,180
106,1,60,180
141,1,60,180
141,1,60,180
137,1,60,180
137,1,60,180
141,1,60,180
104,1,60,180
117,1,60,180
104,1,60,180
123,1,60,180
117,1,60,180
123,1,60,180
123,1,60,180
102,1,60,180
123,1,60,180
123,1,60,180
117,1,60,180
104,1,60,180
104,1,60,180
117,1,60,180
120,1,60,180
106,1,60,180
120,1,60,180
106,1,60,180
104,1,60,180
102,1,60,180
102,1,60,180
104,1,60,180
120,1,60,180
117,1,60,180
94,1,60,180
117,1,60,180
94,1,60,180
141,1,60,180
94,1,60,180
141,1,60,180
137,1,60,180
137,1,60,180
106,1,60,180
120,1,60,180
104,1,60,180
104,1,60,180
106,1,60,180
117,1,60,180
123,1,60,180
117,1,60,180
94,1,60,180
84,1,60,180
102,1,60,180
102,1,60,180
104,1,60,180
104,1,60,180
102,1,60,180
106,1,60,180
102,1,60,180
171,1,60,180
94,1,60,180
104,1,60,180
104,1,60,180
137,1,60,180
106,1,60,180
102,1,60,180
141,1,60,180
94,1,60,180
102,1,60,180
100,1,60,180
137,1,60,180
96,1,60,180
94,1,60,180
104,1,60,180
106,1,60,180
123,1,60,180
102,1,60,180
123,1,60,180
123,1,60,180
104,1,60,180
94,1,60,180
104,1,60,180
104,1,60,180
