81,1,30,90
100,1,30,90
81,1,30,90
81,1,30,90
105,1,30,90
100,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
105,1,30,90
105,1,30,90
81,1,30,90
100,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
105,1,30,90
78,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
81,1,30,90
100,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
100,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
105,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
105,1,30,90
81,1,30,90
78,1,30,90
100,1,30,90
100,1,30,90
78,1,30,90
53,2,30,90
81,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
60,2,30,90
100,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
100,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
100,1,30,90
81,1,30,90
78,1,30,90
105,1,30,90
81,1,30,90
105,1,30,90
60,2,30,90
78,1,30,90
81,1,30,90
58,2,30,90
60,2,30,90
78,1,30,90
53,2,30,90
78,1,30,90
105,1,30,90
81,1,30,90
105,1,30,90
105,1,30,90
78,1,30,90
100,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
81,1,30,90
105,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
105,1,30,90
78,1,30,90
81,1,30,90
100,1,30,90
78,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
78,1,30,90
105,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
60,2,30,90
53,2,30,90
81,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
53,2,30,90
81,1,30,90
78,1,30,90
81,1,30,90
100,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
100,1,30,90
81,1,30,90
105,1,30,90
78,1,30,90
78,1,30,90
105,1,30,90
100,1,30,90
100,1,30,90
105,1,30,90
53,2,30,90
78,1,30,90
61,2,30,90
105,1,30,90
100,1,30,90
105,1,30,90
78,1,30,90
100,1,30,90
81,1,30,90
78,1,30,90
53,2,30,90
81,1,30,90
100,1,30,90
100,1,30,90
100,1,30,90
78,1,30,90
81,1,30,90
100,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
100,1,30,90
78,1,30,90
105,1,30,90
81,1,30,90
105,1,30,90
60,2,30,90
81,1,30,90
81,1,30,90
78,1,30,90
78,1,30,90
100,1,30,90
81,1,30,90
81,1,30,90
100,1,30,90
105,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
81,1,30,90
78,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
105,1,30,90
78,1,30,90
78,1,30,90
81,1,30,90
78,1,30,90
78,1,30,90
78,1,30,90
78,1,30,90
81,1,30,90
105,1,30,90
81,1,30,90
78,1,30,90
