TimeSpent,AmountWorkers
102,1
94,1
94,1
104,1
106,1
117,1
137,1
94,1
137,1
94,1
94,1
120,1
104,1
94,1
102,1
106,1
106,1
106,1
102,1
123,1
117,1
104,1
104,1
137,1
104,1
117,1
123,1
123,1
117,1
117,1
120,1
117,1
104,1
104,1
104,1
120,1
120,1
106,1
106,1
106,1
171,1
120,1
106,1
120,1
102,1
102,1
137,1
104,1
102,1
137,1
120,1
104,1
106,1
106,1
106,1
94,1
102,1
123,1
120,1
102,1
120,1
94,1
120,1
137,1
106,1
141,1
123,1
117,1
104,1
104,1
106,1
94,1
123,1
102,1
137,1
94,1
104,1
123,1
104,1
104,1
94,1
125,1
94,1
94,1
102,1
102,1
106,1
117,1
94,1
137,1
94,1
117,1
141,1
104,1
104,1
102,1
137,1
120,1
137,1
137,1
104,1
94,1
102,1
94,1
137,1
94,1
120,1
106,1
104,1
137,1
106,1
171,1
123,1
141,1
123,1
123,1
106,1
120,1
117,1
120,1
104,1
120,1
104,1
94,1
104,1
104,1
89,1
94,1
94,1
94,1
104,1
104,1
102,1
123,1
104,1
102,1
102,1
102,1
102,1
106,1
106,1
123,1
137,1
102,1
106,1
94,1
104,1
104,1
94,1
104,1
104,1
120,1
141,1
104,1
120,1
102,1
117,1
120,1
141,1
141,1
83,1
102,1
104,1
89,1
120,1
94,1
94,1
113,1
106,1
104,1
106,1
106,1
94,1
102,1
123,1
117,1
102,1
141,1
137,1
106,1
123,1
137,1
104,1
137,1
104,1
104,1
104,1
89,1
120,1
141,1
120,1
104,1
117,1
117,1
104,1
100,1
123,1
123,1
102,1
102,1
102,1
106,1
102,1
117,1
94,1
85,1
120,1
120,1
106,1
104,1
137,1
137,1
120,1
104,1
104,1
94,1
141,1
94,1
141,1
125,1
94,1
94,1
94,1
141,1
117,1
117,1
94,1
94,1
94,1
89,1
120,1
117,1
120,1
94,1
94,1
141,1
94,1
141,1
94,1
137,1
106,1
137,1
100,1
120,1
141,1
106,1
106,1
85,1
123,1
137,1
141,1
141,1
102,1
141,1
102,1
102,1
102,1
106,1
106,1
102,1
106,1
106,1
123,1
123,1
102,1
94,1
106,1
106,1
102,1
102,1
106,1
102,1
94,1
141,1
141,1
123,1
104,1
83,1
137,1
137,1
94,1
106,1
94,1
106,1
94,1
102,1
102,1
137,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
102,1
90,1
104,1
104,1
123,1
120,1
123,1
117,1
117,1
123,1
104,1
123,1
104,1
141,1
104,1
104,1
102,1
104,1
117,1
102,1
120,1
120,1
120,1
137,1
137,1
104,1
104,1
102,1
109,1
141,1
94,1
123,1
123,1
104,1
104,1
120,1
104,1
123,1
137,1
104,1
104,1
123,1
117,1
88,1
104,1
104,1
84,1
137,1
123,1
123,1
120,1
102,1
94,1
123,1
120,1
104,1
104,1
102,1
102,1
94,1
94,1
94,1
94,1
104,1
117,1
102,1
120,1
117,1
141,1
123,1
117,1
117,1
114,1
94,1
102,1
117,1
120,1
117,1
141,1
94,1
106,1
82,1
106,1
137,1
92,1
104,1
104,1
104,1
106,1
117,1
141,1
117,1
104,1
104,1
137,1
106,1
102,1
94,1
102,1
104,1
104,1
137,1
106,1
137,1
104,1
94,1
117,1
104,1
141,1
104,1
100,1
117,1
137,1
96,1
104,1
104,1
137,1
85,1
94,1
104,1
104,1
104,1
120,1
123,1
137,1
114,1
120,1
141,1
101,1
120,1
120,1
137,1
137,1
102,1
123,1
120,1
104,1
89,1
141,1
104,1
104,1
104,1
137,1
104,1
141,1
106,1
137,1
94,1
137,1
137,1
137,1
120,1
106,1
106,1
137,1
137,1
137,1
92,1
123,1
120,1
120,1
106,1
109,1
104,1
94,1
102,1
100,1
102,1
123,1
123,1
123,1
106,1
101,1
104,1
104,1
123,1
104,1
94,1
100,1
117,1
123,1
123,1
123,1
113,1
104,1
102,1
117,1
104,1
106,1
137,1
94,1
104,1
123,1
137,1
104,1
106,1
141,1
123,1
104,1
104,1
123,1
94,1
94,1
123,1
106,1
92,1
137,1
94,1
141,1
141,1
104,1
120,1
117,1
102,1
102,1
101,1
106,1
106,1
141,1
104,1
104,1
104,1
104,1
117,1
141,1
104,1
104,1
141,1
141,1
117,1
123,1
102,1
102,1
120,1
106,1
102,1
101,1
123,1
104,1
102,1
141,1
141,1
102,1
141,1
106,1
106,1
94,1
123,1
137,1
89,1
141,1
141,1
125,1
104,1
102,1
102,1
94,1
137,1
94,1
94,1
137,1
137,1
94,1
94,1
106,1
123,1
123,1
120,1
104,1
104,1
104,1
104,1
104,1
100,1
104,1
104,1
117,1
94,1
102,1
120,1
117,1
102,1
104,1
104,1
104,1
82,1
104,1
104,1
94,1
137,1
137,1
137,1
137,1
123,1
106,1
120,1
104,1
104,1
104,1
104,1
120,1
106,1
102,1
123,1
82,1
141,1
94,1
104,1
104,1
137,1
137,1
137,1
123,1
117,1
117,1
104,1
123,1
104,1
137,1
141,1
106,1
120,1
123,1
106,1
117,1
120,1
137,1
137,1
94,1
102,1
94,1
106,1
104,1
104,1
106,1
106,1
123,1
102,1
94,1
137,1
104,1
120,1
117,1
94,1
104,1
106,1
104,1
123,1
120,1
102,1
104,1
104,1
137,1
106,1
122,1
104,1
106,1
104,1
104,1
89,1
117,1
123,1
123,1
102,1
141,1
94,1
137,1
137,1
117,1
141,1
137,1
137,1
94,1
137,1
104,1
106,1
106,1
117,1
117,1
104,1
117,1
102,1
141,1
102,1
141,1
120,1
89,1
114,1
141,1
102,1
141,1
141,1
