TimeSpent,AmountWorkers,MinTime,MaxTime
36,1,15,45
47,1,15,45
50,1,15,45
36,1,15,45
47,1,15,45
36,1,15,45
47,1,15,45
60,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
47,1,15,45
50,1,15,45
47,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
47,1,15,45
36,1,15,45
47,1,15,45
36,1,15,45
50,1,15,45
47,1,15,45
50,1,15,45
36,1,15,45
50,1,15,45
36,1,15,45
47,1,15,45
50,1,15,45
47,1,15,45
47,1,15,45
60,1,15,45
47,1,15,45
36,1,15,45
36,1,15,45
50,1,15,45
50,1,15,45
47,1,15,45
50,1,15,45
60,1,15,45
50,1,15,45
50,1,15,45
47,1,15,45
50,1,15,45
47,1,15,45
50,1,15,45
47,1,15,45
47,1,15,45
36,1,15,45
60,1,15,45
36,1,15,45
50,1,15,45
60,1,15,45
50,1,15,45
60,1,15,45
60,1,15,45
50,1,15,45
36,1,15,45
36,1,15,45
60,1,15,45
60,1,15,45
60,1,15,45
36,1,15,45
60,1,15,45
60,1,15,45
60,1,15,45
60,1,15,45
47,1,15,45
50,1,15,45
60,1,15,45
60,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
60,1,15,45
36,1,15,45
36,1,15,45
36,1,15,45
50,1,15,45
47,1,15,45
47,1,15,45
50,1,15,45
36,1,15,45
50,1,15,45
36,1,15,45
36,1,15,45
60,1,15,45
60,1,15,45
50,1,15,45
50,1,15,45
50,1,15,45
50,1,15,45
47,1,15,45
47,1,15,45
47,1,15,45
50,1,15,45
50,1,15,45
50,1,15,45
36,1,15,45
47,1,15,45
36,1,15,45
47,1,15,45
47,1,15,45
47,1,15,45
60,1,15,45
60,1,15,45
47,1,15,45
47,1,15,45
47,1,15,45
60,1,15,45
60,1,15,45
47,1,15,45
47,1,15,45
47,1,15,45
47,1,15,45
60,1,15,45
50,1,15,45
50,1,15,45
50,1,15,45
50,1,15,45
60,1,15,45
60,1,15,45
60,1,15,45
47,1,15,45
47,1,15,45
50,1,15,45
50,1,15,45
