TimeSpent,AmountWorkers,MinTime,MaxTime
81,1,40,90
75,1,40,90
78,1,40,90
81,1,40,90
78,1,40,90
78,1,40,90
75,1,40,90
78,1,40,90
81,1,40,90
81,1,40,90
75,1,40,90
78,1,40,90
78,1,40,90
105,1,40,90
105,1,40,90
78,1,40,90
78,1,40,90
78,1,40,90
105,1,40,90
78,1,40,90
56,2,40,90
81,1,40,90
78,1,40,90
81,1,40,90
81,1,40,90
81,1,40,90
105,1,40,90
75,1,40,90
75,1,40,90
81,1,40,90
81,1,40,90
105,1,40,90
75,1,40,90
78,1,40,90
75,1,40,90
105,1,40,90
75,1,40,90
81,1,40,90
78,1,40,90
57,2,40,90
105,1,40,90
81,1,40,90
81,1,40,90
81,1,40,90
75,1,40,90
81,1,40,90
75,1,40,90
75,1,40,90
105,1,40,90
81,1,40,90
81,1,40,90
81,1,40,90
105,1,40,90
81,1,40,90
81,1,40,90
78,1,40,90
78,1,40,90
75,1,40,90
81,1,40,90
78,1,40,90
81,1,40,90
63,2,40,90
78,1,40,90
81,1,40,90
81,1,40,90
78,1,40,90
75,1,40,90
78,1,40,90
105,1,40,90
75,1,40,90
75,1,40,90
81,1,40,90
105,1,40,90
78,1,40,90
75,1,40,90
75,1,40,90
78,1,40,90
75,1,40,90
105,1,40,90
78,1,40,90
75,1,40,90
105,1,40,90
81,1,40,90
78,1,40,90
78,1,40,90
105,1,40,90
105,1,40,90
105,1,40,90
78,1,40,90
81,1,40,90
78,1,40,90
81,1,40,90
105,1,40,90
75,1,40,90
75,1,40,90
75,1,40,90
81,1,40,90
75,1,40,90
75,1,40,90
81,1,40,90
81,1,40,90
75,1,40,90
57,2,40,90
78,1,40,90
105,1,40,90
78,1,40,90
78,1,40,90
75,1,40,90
81,1,40,90
75,1,40,90
78,1,40,90
78,1,40,90
78,1,40,90
81,1,40,90
81,1,40,90
81,1,40,90
81,1,40,90
78,1,40,90
75,1,40,90
75,1,40,90
81,1,40,90
75,1,40,90
81,1,40,90
78,1,40,90
75,1,40,90
81,1,40,90
